,starNumber,B,V,V_corrected,B-V,B-V_corrected,spectral type
434,435.0,19.533,18.894,17.934,1.599,1.299,K
435,436.0,20.734,20.158,19.198,1.536,1.236,K
436,437.0,17.344,16.839,15.879,1.465,1.165,K
437,438.0,18.243,17.491,16.531,1.712,1.412,K
438,439.0,17.014,16.72,15.76,1.254,0.954,G
439,440.0,16.576,15.884,14.924,1.652,1.352,K
440,441.0,18.017,17.763,16.803,1.214,0.914,G
441,442.0,20.062,19.572,18.612,1.45,1.15,K
442,443.0,17.214,16.349,15.389,1.825,1.525,K
443,444.0,17.418,17.102,16.142,1.276,0.976,G
444,445.0,16.599,15.892,14.932,1.667,1.367,K
445,446.0,15.968,15.219,14.259,1.709,1.409,K
446,447.0,20.591,19.958,18.998,1.593,1.293,K
447,448.0,17.318,16.829,15.869,1.449,1.149,K
448,449.0,16.031,15.711,14.751,1.28,0.98,G
449,450.0,19.737,19.261,18.301,1.436,1.136,K
450,451.0,16.513,16.038,15.078,1.435,1.135,K
451,452.0,15.689,15.372,14.412,1.277,0.977,G
452,453.0,16.865,16.319,15.359,1.506,1.206,K
453,454.0,16.773,16.473,15.513,1.26,0.96,G
454,455.0,15.842,15.217,14.257,1.585,1.285,K
455,456.0,16.907,16.562,15.602,1.305,1.005,K
456,457.0,17.303,16.904,15.944,1.359,1.059,K
457,458.0,18.079,17.738,16.778,1.301,1.001,K
458,459.0,16.609,16.142,15.182,1.427,1.127,K
459,460.0,16.541,16.082,15.122,1.419,1.119,K
460,461.0,16.312,15.392,14.432,1.88,1.58,K
461,462.0,17.723,16.603,15.643,2.08,1.78,M
462,463.0,15.814,15.302,14.342,1.472,1.172,K
463,464.0,17.371,16.823,15.863,1.508,1.208,K
464,465.0,16.285,15.928,14.968,1.317,1.017,K
465,466.0,17.664,17.266,16.306,1.358,1.058,K
466,467.0,18.695,18.104,17.144,1.551,1.251,K
467,468.0,18.913,18.379,17.419,1.494,1.194,K
468,469.0,17.371,16.432,15.472,1.899,1.599,K
469,470.0,18.869,18.095,17.135,1.734,1.434,K
470,471.0,18.832,18.283,17.323,1.509,1.209,K
471,472.0,18.079,17.492,16.532,1.547,1.247,K
472,473.0,16.641,15.937,14.977,1.664,1.364,K
473,474.0,18.079,17.374,16.414,1.665,1.365,K
474,475.0,17.371,16.881,15.921,1.45,1.15,K
